"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","GRADRATEFIELD","HEALTH","PC","A","2016",14.68,
"ISL","GRADRATEFIELD","HEALTH","PC","A","2017",16.503,
"ISL","GRADRATEFIELD","HEALTH","PC","A","2018",16.632,
"ISL","GRADRATEFIELD","BUSINESS","PC","A","2016",22.458,
"ISL","GRADRATEFIELD","BUSINESS","PC","A","2017",21.766,
"ISL","GRADRATEFIELD","BUSINESS","PC","A","2018",21.827,
"ISL","GRADRATEFIELD","ENGINEERING","PC","A","2016",9.531,
"ISL","GRADRATEFIELD","ENGINEERING","PC","A","2017",8.921,
"ISL","GRADRATEFIELD","ENGINEERING","PC","A","2018",8.567,
"IRL","GRADRATEFIELD","EDU","PC","A","2016",5.684,
"IRL","GRADRATEFIELD","EDU","PC","A","2017",9.463,
"IRL","GRADRATEFIELD","EDU","PC","A","2018",8.59,
"IRL","GRADRATEFIELD","HEALTH","PC","A","2016",17.105,
"IRL","GRADRATEFIELD","HEALTH","PC","A","2017",16.828,
"IRL","GRADRATEFIELD","HEALTH","PC","A","2018",16.757,
"IRL","GRADRATEFIELD","BUSINESS","PC","A","2016",24.975,
"IRL","GRADRATEFIELD","BUSINESS","PC","A","2017",24.854,
"IRL","GRADRATEFIELD","BUSINESS","PC","A","2018",26.727,
"IRL","GRADRATEFIELD","ENGINEERING","PC","A","2016",10.278,
"IRL","GRADRATEFIELD","ENGINEERING","PC","A","2017",9.254,
"IRL","GRADRATEFIELD","ENGINEERING","PC","A","2018",8.594,
"ITA","GRADRATEFIELD","EDU","PC","A","2016",3.641,
"ITA","GRADRATEFIELD","EDU","PC","A","2017",4.463,
"ITA","GRADRATEFIELD","EDU","PC","A","2018",6.976,
"ITA","GRADRATEFIELD","HEALTH","PC","A","2016",15.161,
"ITA","GRADRATEFIELD","HEALTH","PC","A","2017",14.651,
"ITA","GRADRATEFIELD","HEALTH","PC","A","2018",14.562,
"ITA","GRADRATEFIELD","BUSINESS","PC","A","2016",21.349,
"ITA","GRADRATEFIELD","BUSINESS","PC","A","2017",21.142,
"ITA","GRADRATEFIELD","BUSINESS","PC","A","2018",17.734,
"ITA","GRADRATEFIELD","ENGINEERING","PC","A","2016",16.397,
"ITA","GRADRATEFIELD","ENGINEERING","PC","A","2017",16.553,
"ITA","GRADRATEFIELD","ENGINEERING","PC","A","2018",15.437,
"JPN","GRADRATEFIELD","EDU","PC","A","2016",9.62,
"JPN","GRADRATEFIELD","EDU","PC","A","2017",9.036,
"JPN","GRADRATEFIELD","EDU","PC","A","2018",8.957,
"JPN","GRADRATEFIELD","HEALTH","PC","A","2016",15.681,
"JPN","GRADRATEFIELD","HEALTH","PC","A","2017",15.74,
"JPN","GRADRATEFIELD","HEALTH","PC","A","2018",15.944,
"JPN","GRADRATEFIELD","BUSINESS","PC","A","2016",19.748,
"JPN","GRADRATEFIELD","BUSINESS","PC","A","2017",20.018,
"JPN","GRADRATEFIELD","BUSINESS","PC","A","2018",19.91,
"JPN","GRADRATEFIELD","ENGINEERING","PC","A","2016",17.775,
"JPN","GRADRATEFIELD","ENGINEERING","PC","A","2017",18.251,
"JPN","GRADRATEFIELD","ENGINEERING","PC","A","2018",18.445,
"KOR","GRADRATEFIELD","EDU","PC","A","2016",7.156,
"KOR","GRADRATEFIELD","EDU","PC","A","2017",7.238,
"KOR","GRADRATEFIELD","EDU","PC","A","2018",7.407,
"KOR","GRADRATEFIELD","HEALTH","PC","A","2016",14.488,
"KOR","GRADRATEFIELD","HEALTH","PC","A","2017",15.497,
"KOR","GRADRATEFIELD","HEALTH","PC","A","2018",15.8,
"KOR","GRADRATEFIELD","BUSINESS","PC","A","2016",15.611,
"KOR","GRADRATEFIELD","BUSINESS","PC","A","2017",15.077,
"KOR","GRADRATEFIELD","BUSINESS","PC","A","2018",14.841,
"KOR","GRADRATEFIELD","ENGINEERING","PC","A","2016",22.239,
"KOR","GRADRATEFIELD","ENGINEERING","PC","A","2017",20.324,
"KOR","GRADRATEFIELD","ENGINEERING","PC","A","2018",20.295,
"LUX","GRADRATEFIELD","EDU","PC","A","2016",8.799,
"LUX","GRADRATEFIELD","EDU","PC","A","2017",7.494,
"LUX","GRADRATEFIELD","EDU","PC","A","2018",10.097,
"LUX","GRADRATEFIELD","HEALTH","PC","A","2016",6.421,
"LUX","GRADRATEFIELD","HEALTH","PC","A","2017",7.323,
"LUX","GRADRATEFIELD","HEALTH","PC","A","2018",6.788,
"LUX","GRADRATEFIELD","BUSINESS","PC","A","2016",40.071,
"LUX","GRADRATEFIELD","BUSINESS","PC","A","2017",43.822,
"LUX","GRADRATEFIELD","BUSINESS","PC","A","2018",42.499,
"LUX","GRADRATEFIELD","ENGINEERING","PC","A","2016",6.599,
"LUX","GRADRATEFIELD","ENGINEERING","PC","A","2017",7.666,
"LUX","GRADRATEFIELD","ENGINEERING","PC","A","2018",7.188,
"MEX","GRADRATEFIELD","EDU","PC","A","2016",13.785,
"MEX","GRADRATEFIELD","EDU","PC","A","2017",13.066,
"MEX","GRADRATEFIELD","EDU","PC","A","2018",11.231,
"MEX","GRADRATEFIELD","HEALTH","PC","A","2016",9.686,
"MEX","GRADRATEFIELD","HEALTH","PC","A","2017",10.961,
"MEX","GRADRATEFIELD","HEALTH","PC","A","2018",11.47,
"MEX","GRADRATEFIELD","BUSINESS","PC","A","2016",35.154,
"MEX","GRADRATEFIELD","BUSINESS","PC","A","2017",33.206,
"MEX","GRADRATEFIELD","BUSINESS","PC","A","2018",33.607,
"MEX","GRADRATEFIELD","ENGINEERING","PC","A","2016",21.314,
"MEX","GRADRATEFIELD","ENGINEERING","PC","A","2017",17.452,
"MEX","GRADRATEFIELD","ENGINEERING","PC","A","2018",18.301,
"NLD","GRADRATEFIELD","EDU","PC","A","2016",,"M"
"NLD","GRADRATEFIELD","EDU","PC","A","2017",9.827,
"NLD","GRADRATEFIELD","EDU","PC","A","2018",9.678,
"NLD","GRADRATEFIELD","HEALTH","PC","A","2016",,"M"
"NLD","GRADRATEFIELD","HEALTH","PC","A","2017",17.13,
"NLD","GRADRATEFIELD","HEALTH","PC","A","2018",17.117,
"NLD","GRADRATEFIELD","BUSINESS","PC","A","2016",,"M"
"NLD","GRADRATEFIELD","BUSINESS","PC","A","2017",27.49,
"NLD","GRADRATEFIELD","BUSINESS","PC","A","2018",27.252,
"NLD","GRADRATEFIELD","ENGINEERING","PC","A","2016",,"M"
"NLD","GRADRATEFIELD","ENGINEERING","PC","A","2017",8.068,
"NLD","GRADRATEFIELD","ENGINEERING","PC","A","2018",8.255,
"NZL","GRADRATEFIELD","EDU","PC","A","2016",9.709,
"NZL","GRADRATEFIELD","EDU","PC","A","2017",10.317,
"NZL","GRADRATEFIELD","EDU","PC","A","2018",9.979,
"NZL","GRADRATEFIELD","HEALTH","PC","A","2016",15.475,
"NZL","GRADRATEFIELD","HEALTH","PC","A","2017",15.219,
"NZL","GRADRATEFIELD","HEALTH","PC","A","2018",14.801,
"NZL","GRADRATEFIELD","BUSINESS","PC","A","2016",25.834,
"NZL","GRADRATEFIELD","BUSINESS","PC","A","2017",24.668,
"NZL","GRADRATEFIELD","BUSINESS","PC","A","2018",24.057,
"NZL","GRADRATEFIELD","ENGINEERING","PC","A","2016",7.945,
"NZL","GRADRATEFIELD","ENGINEERING","PC","A","2017",8.529,
"NZL","GRADRATEFIELD","ENGINEERING","PC","A","2018",9.056,
"NOR","GRADRATEFIELD","EDU","PC","A","2016",16.601,
"NOR","GRADRATEFIELD","EDU","PC","A","2017",15.805,
"NOR","GRADRATEFIELD","EDU","PC","A","2018",16.315,
"NOR","GRADRATEFIELD","HEALTH","PC","A","2016",20.59,
"NOR","GRADRATEFIELD","HEALTH","PC","A","2017",19.29,
"NOR","GRADRATEFIELD","HEALTH","PC","A","2018",19.826,
"NOR","GRADRATEFIELD","BUSINESS","PC","A","2016",16.115,
"NOR","GRADRATEFIELD","BUSINESS","PC","A","2017",18.578,
"NOR","GRADRATEFIELD","BUSINESS","PC","A","2018",17.062,
"NOR","GRADRATEFIELD","ENGINEERING","PC","A","2016",12.642,
"NOR","GRADRATEFIELD","ENGINEERING","PC","A","2017",13.584,
"NOR","GRADRATEFIELD","ENGINEERING","PC","A","2018",13.432,
"POL","GRADRATEFIELD","EDU","PC","A","2016",13.587,
"POL","GRADRATEFIELD","EDU","PC","A","2017",13.343,
"POL","GRADRATEFIELD","EDU","PC","A","2018",20.622,
"POL","GRADRATEFIELD","HEALTH","PC","A","2016",12.85,
"POL","GRADRATEFIELD","HEALTH","PC","A","2017",13.293,
"POL","GRADRATEFIELD","HEALTH","PC","A","2018",8.938,
"POL","GRADRATEFIELD","BUSINESS","PC","A","2016",24.297,
"POL","GRADRATEFIELD","BUSINESS","PC","A","2017",24.361,
"POL","GRADRATEFIELD","BUSINESS","PC","A","2018",23.525,
